#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
389,2023071605002801,NRN,34,45,10,514.80,"5,148.00"
390,2023071605002800,NRN,41,50,11,510.00,"5,610.00"
391,2023071605002792,NRN,41,18,10,510.00,"5,100.00"
392,2023071605003206,NTC,57,54,10,906.90,"9,069.00"
393,2023071605003192,NTC,49,53,41,905.00,"37,105.00"
394,2023071605003191,NTC,26,53,24,906.00,"21,744.00"
395,2023071605003175,NTC,26,54,50,906.00,"45,300.00"
396,2023071605003169,NTC,26,35,86,906.00,"77,916.00"
397,2023071605003168,NTC,26,34,30,905.90,"27,177.00"
398,2023071605002772,NTC,57,21,20,906.00,"18,120.00"
399,2023071605002737,NTC,21,42,66,905.00,"59,730.00"
400,2023071605002736,NTC,45,42,60,905.00,"54,300.00"
401,2023071605002735,NTC,48,42,20,905.20,"18,104.00"
402,2023071605002957,NTC,51,59,70,905.00,"63,350.00"
403,2023071605002942,NTC,51,13,20,905.00,"18,100.00"
404,2023071605002933,NTC,51,45,10,905.00,"9,050.00"
405,2023071605002932,NTC,34,16,50,906.00,"45,300.00"
406,2023071605002931,NTC,34,36,50,906.00,"45,300.00"
407,2023071605002791,NTC,11,36,50,906.00,"45,300.00"
408,2023071605003018,NTC,32,44,50,904.00,"45,200.00"
409,2023071605003017,NTC,41,44,25,904.00,"22,600.00"
410,2023071605003016,NTC,19,44,210,905.00,"190,050.00"
411,2023071605003013,NTC,19,59,90,905.00,"81,450.00"
412,2023071605002959,NTC,42,59,30,905.00,"27,150.00"
413,2023071605002958,NTC,54,59,10,905.00,"9,050.00"
414,2023071605003032,NTC,49,8,15,904.80,"13,572.00"
415,2023071605003023,NTC,49,44,106,903.70,"95,792.20"
416,2023071605003022,NTC,41,44,20,904.00,"18,080.00"
417,2023071605003021,NTC,42,44,47,904.00,"42,488.00"
418,2023071605003020,NTC,58,44,32,904.00,"28,928.00"
419,2023071605003019,NTC,54,44,10,904.00,"9,040.00"
420,2023071605003167,NTC,26,45,10,905.00,"9,050.00"
421,2023071605003153,NTC,32,45,30,905.00,"27,150.00"
422,2023071605003152,NTC,7,45,10,905.00,"9,050.00"
423,2023071605003080,NTC,45,3,20,906.00,"18,120.00"
424,2023071605003079,NTC,45,16,100,906.00,"90,600.00"
425,2023071605003036,NTC,25,16,100,906.00,"90,600.00"
426,2023071605003140,PSF,47,10,"18,250",8.85,"161,512.50"
427,2023071605003139,PSF,58,10,"7,350",8.86,"65,121.00"
428,2023071605003082,PSF,59,10,100,9.00,900.00
429,2023071605002996,PSF,58,58,300,8.86,"2,658.00"
430,2023071605002899,PSF,49,10,100,9.30,930.00
431,2023071605002898,PSF,49,11,100,9.00,900.00
432,2023071605002829,PSF,49,11,100,9.00,900.00
433,2023071605002786,PSF,58,58,100,8.86,886.00
434,2023071605002785,PSF,28,58,250,8.87,"2,217.50"
435,2023071605002784,PSF,28,58,150,8.91,"1,336.50"
436,2023071605003157,RMF1,17,6,251,8.08,"2,028.08"
437,2023071605003156,RMF1,17,38,"3,899",8.05,"31,386.95"
438,2023071605003155,RMF1,17,21,"2,050",8.04,"16,482.00"
439,2023071605003141,RMF1,17,21,"10,000",8.04,"80,400.00"
440,2023071605003027,RMF1,49,38,"1,000",8.05,"8,050.00"
441,2023071605003002,RMF1,28,58,900,7.80,"7,020.00"
442,2023071605002711,RMF1,49,35,100,7.94,794.00
443,2023071605002710,RMF1,49,47,"2,900",7.93,"22,997.00"
444,2023071605002978,RMF1,49,38,101,8.05,813.05
445,2023071605002977,RMF1,49,51,499,8.02,"4,001.98"
446,2023071605002948,RMF1,49,42,"4,600",7.99,"36,754.00"
447,2023071605002947,RMF1,49,32,"1,000",7.98,"7,980.00"
448,2023071605002946,RMF1,49,35,"12,300",7.94,"97,662.00"
449,2023071605002945,RMF1,49,49,"4,900",7.93,"38,857.00"
450,2023071605003202,SAGF,36,58,100,9.99,999.00
451,2023071605003144,SAGF,36,14,"1,200",9.99,"11,988.00"
452,2023071605003143,SAGF,36,47,100,9.99,999.00
453,2023071605003142,SAGF,36,58,300,9.99,"2,997.00"
454,2023071605003026,SBCF,47,58,300,7.87,"2,361.00"
455,2023071605003094,SBCF,59,10,100,7.85,785.00
456,2023071605003093,SBCF,47,10,"19,700",7.87,"155,039.00"
457,2023071605003083,SFEF,44,44,100,9.68,968.00
458,2023071605002981,SFEF,44,44,100,9.50,950.00
459,2023071605002831,SFEF,44,44,100,9.32,932.00
460,2023071605002728,SFEF,44,44,100,9.14,914.00
461,2023071605002718,SFMF,58,21,"1,200",11.08,"13,296.00"
462,2023071605002717,SFMF,58,29,"1,300",11.08,"14,404.00"
463,2023071605003146,SIGS2,34,17,100,9.03,903.00
